"Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","MTP","HIGHSD","OUTLIERRG"
"788_WC","29.6662616729736","2.32225608825684","83.2527847290039","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","F1","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","61","FALSE","Target 1","UNKNOWN","SYBR","None","30.5032444000244","0.855506896972656","","","","","","","","TRUE","0.135016590886038","TRUE","3","24","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.956700628660692","N","Y","N"
"788_WC","30.4673328399658","2.24291753768921","83.3624114990234","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","F2","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","62","FALSE","Target 1","UNKNOWN","SYBR","None","30.5032444000244","0.855506896972656","","","","","","","","TRUE","0.135016590886038","TRUE","3","26","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.976599782483963","N","Y","N"
"788_WC","31.3761444091797","2.24751400947571","83.0847549438477","","","","65","10","0.5","Lutjanidae1","4.4","control_sentino","F3","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","63","FALSE","Target 1","UNKNOWN","SYBR","None","30.5032444000244","0.855506896972656","","","","","","","","TRUE","0.135016590886038","TRUE","3","27","Amp","65, 10, 0.5, Lutjanidae1, 4.4, control_sentino","0.98705423914092","N","Y","N"
"798","36.1883850097656","2.37010264396667","82.6999816894531","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F4","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","64","FALSE","Target 1","UNKNOWN","SYBR","None","37.6719245910645","2.13554930686951","","","","","","","","TRUE","0.135016590886038","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.972767294471813","N","Y","N"
"798","36.7078475952148","2.44976377487183","82.6809387207031","70.0519104003906","73.2366180419922","92.1801605224609","65","10","0.5","Lutjanidae1","4.4","sentino","F5","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","65","FALSE","Target 1","UNKNOWN","SYBR","None","37.6719245910645","2.13554930686951","","","","","","","","TRUE","0.135016590886038","TRUE","3","31","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.957204464449906","Y","Y","N"
"798","40.1195373535156","2.52190685272217","81.4180297851562","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F6","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","66","FALSE","Target 1","UNKNOWN","SYBR","None","37.6719245910645","2.13554930686951","","","","","","","","TRUE","0.135016590886038","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.944139814484645","N","Y","N"
"799","40.7847518920898","2.11592197418213","81.7048187255859","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F7","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","67","FALSE","Target 1","UNKNOWN","SYBR","None","41.5872421264648","1.88577032089233","","","","","","","","TRUE","0.135016590886038","TRUE","3","36","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.945010147615581","N","Y","N"
"799","40.2354507446289","2.18391394615173","81.7597732543945","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F8","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","68","FALSE","Target 1","UNKNOWN","SYBR","None","41.5872421264648","1.88577032089233","","","","","","","","TRUE","0.135016590886038","TRUE","3","35","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.957439284882492","N","Y","N"
"799","43.7415237426758","1.62585079669952","81.4472579956055","","","","65","10","0.5","Lutjanidae1","4.4","sentino","F9","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","69","FALSE","Target 1","UNKNOWN","SYBR","None","41.5872421264648","1.88577032089233","","","","","","","","TRUE","0.135016590886038","TRUE","3","39","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.933410265094816","N","Y","N"
"800","35.7076072692871","2.1331958770752","82.9875335693359","73.3608016967773","88.2134780883789","67.8598098754883","65","10","0.5","Lutjanidae1","4.4","sentino","F10","2022-07-19_fieldtrip2_lutjanidae_plate1","2022-10-14 17:22:56 PM AWST","70","FALSE","Target 1","UNKNOWN","SYBR","None","34.9568138122559","3.80497860908508","","","","","","","","TRUE","0.135016590886038","TRUE","3","30","Amp","65, 10, 0.5, Lutjanidae1, 4.4, sentino","0.928876303328309","Y","Y","N"
