"filename_fullpath","Sample Name","CT","Delta Rn","Tm1","Tm2","Tm3","Tm4","Annealing_temperature(?C)","Primer_concentration_(uM)","Primer_volume","Primer_name","Sample_volume","Additional_comments","Well Position","filename","run_endtime","Well","Omit","Target Name","Task","Reporter","Quencher","Ct Mean","Ct SD","Quantity","Quantity Mean","Quantity SD","Y-Intercept","R(superscript 2)","Slope","Efficiency","Automatic Ct Threshold","Ct Threshold","Automatic Baseline","Baseline Start","Baseline End","Amp Status","Comments","Cq Conf","CQCONF","EXPFAIL","HIGHSD","OUTLIERRG","MTP","PRFDROP","NOAMP","DRNMIN"
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","684",40.5020790100098,1.82601487636566,84.3694839477539,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","C9","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",33,FALSE,"Target 1","UNKNOWN","SYBR","None",42.6483955383301,2.21126914024353,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,36,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.964257062175192,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","685_WC",49.6505393981934,0.159505367279053,87.2293243408203,85.5794219970703,64.0755996704102,72.3251495361328,55,10,0.5,"16S",4.4,"control_sentino","C10","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",34,FALSE,"Target 1","UNKNOWN","SYBR","None",47.4739990234375,2.17941474914551,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,44,"Inconclusive","55, 10, 0.5, 16S, 4.4, control_sentino",0,"Y","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","685_WC",45.2917213439941,1.08868503570557,80.9534225463867,NA,NA,NA,55,10,0.5,"16S",4.4,"control_sentino","C11","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",35,FALSE,"Target 1","UNKNOWN","SYBR","None",47.4739990234375,2.17941474914551,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,41,"Amp","55, 10, 0.5, 16S, 4.4, control_sentino",0.831708234371236,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","685_WC",47.4797401428223,0.465930610895157,81.5569839477539,75.5762023925781,71.8450622558594,NA,55,10,0.5,"16S",4.4,"control_sentino","C12","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",36,FALSE,"Target 1","UNKNOWN","SYBR","None",47.4739990234375,2.17941474914551,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,43,"Inconclusive","55, 10, 0.5, 16S, 4.4, control_sentino",0.583251046514982,"Y","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","686",39.2699508666992,1.70644688606262,84.4772720336914,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","D1","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",37,FALSE,"Target 1","UNKNOWN","SYBR","None",39.4925270080566,0.668160617351532,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,33,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.975493113318486,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","686",40.2435646057129,1.64486181735992,84.4224853515625,68.1498260498047,76.9162368774414,64.5336761474609,55,10,0.5,"16S",4.4,"sentino","D2","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",38,FALSE,"Target 1","UNKNOWN","SYBR","None",39.4925270080566,0.668160617351532,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,34,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.94697159014273,"N","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","686",38.9640579223633,1.63496994972229,84.3534393310547,76.4930572509766,82.979248046875,59.0133438110352,55,10,0.5,"16S",4.4,"sentino","D3","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",39,FALSE,"Target 1","UNKNOWN","SYBR","None",39.4925270080566,0.668160617351532,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,33,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.948834956029446,"N","N","Y","N","Y",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","687",40.8944282531738,1.75599944591522,84.4084014892578,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","D4","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",40,FALSE,"Target 1","UNKNOWN","SYBR","None",41.479419708252,1.13909351825714,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,36,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.921599740667917,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","687",42.7921485900879,1.27602624893188,84.4931030273438,NA,NA,NA,55,10,0.5,"16S",4.4,"sentino","D5","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",41,FALSE,"Target 1","UNKNOWN","SYBR","None",41.479419708252,1.13909351825714,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,37,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.889770356901171,"N","N","Y","N","N",NA,NA,NA
"C:/github/quantstudio/PCR1-xls/2022-10-03_fieldtrip2_16S_plate1_output.csv","687",40.7516860961914,1.54626166820526,82.9553070068359,84.3283386230469,NA,NA,55,10,0.5,"16S",4.4,"sentino","D6","2022-07-19_fieldtrip2_16S_plate1","2022-10-05 16:48:41 PM AWST",42,FALSE,"Target 1","UNKNOWN","SYBR","None",41.479419708252,1.13909351825714,NA,NA,NA,NA,NA,NA,NA,TRUE,0.139996057769611,TRUE,3,36,"Amp","55, 10, 0.5, 16S, 4.4, sentino",0.966096360805134,"N","N","Y","N","Y",NA,NA,NA
